指标,数值
总数据包,421
总字节数,116229
数据包速率,0.00 pps
字节速率,0.00 Bps

协议分布
TCP,328
UDP,64
DNS,27
Unknown,2

完整数据包列表
时间戳,源IP,目标IP,源端口,目标端口,协议,长度(字节)
2025-10-08 23:08:57.771,192.168.31.159,46.232.56.131,4891,443,TCP,1262
2025-10-08 23:08:57.772,192.168.31.159,46.232.56.131,4891,443,TCP,987
2025-10-08 23:08:57.838,46.232.56.131,192.168.31.159,443,4891,TCP,60
2025-10-08 23:08:57.839,46.232.56.131,192.168.31.159,443,4884,TCP,1490
2025-10-08 23:08:57.840,192.168.31.159,46.232.56.131,4884,443,TCP,54
2025-10-08 23:08:57.840,192.168.31.159,46.232.56.131,4884,443,TCP,134
2025-10-08 23:08:57.840,192.168.31.159,46.232.56.131,4884,443,TCP,1262
2025-10-08 23:08:57.840,192.168.31.159,46.232.56.131,4884,443,TCP,102
2025-10-08 23:08:57.848,46.232.56.131,192.168.31.159,443,4891,TCP,1262
2025-10-08 23:08:57.849,46.232.56.131,192.168.31.159,443,4891,TCP,125
2025-10-08 23:08:57.849,192.168.31.159,46.232.56.131,4891,443,TCP,54
2025-10-08 23:08:57.849,192.168.31.159,46.232.56.131,4891,443,TCP,1139
2025-10-08 23:08:57.849,192.168.31.159,46.232.56.131,4891,443,TCP,1209
2025-10-08 23:08:57.850,192.168.31.159,46.232.56.131,4891,443,TCP,1287
2025-10-08 23:08:57.911,46.232.56.131,192.168.31.159,443,4884,TCP,60
2025-10-08 23:08:57.911,46.232.56.131,192.168.31.159,443,4884,TCP,66
2025-10-08 23:08:57.912,46.232.56.131,192.168.31.159,443,4884,TCP,60
2025-10-08 23:08:57.912,46.232.56.131,192.168.31.159,443,4891,TCP,60
2025-10-08 23:08:57.915,46.232.56.131,192.168.31.159,443,4891,TCP,1251
2025-10-08 23:08:57.915,46.232.56.131,192.168.31.159,443,4891,TCP,146
2025-10-08 23:08:57.916,192.168.31.159,46.232.56.131,4891,443,TCP,54
2025-10-08 23:08:57.916,192.168.31.159,46.232.56.131,4891,443,TCP,85
2025-10-08 23:08:57.925,46.232.56.131,192.168.31.159,443,4884,TCP,1262
2025-10-08 23:08:57.926,46.232.56.131,192.168.31.159,443,4884,TCP,1490
2025-10-08 23:08:57.926,46.232.56.131,192.168.31.159,443,4884,TCP,1012
2025-10-08 23:08:57.927,46.232.56.131,192.168.31.159,443,4884,TCP,809
2025-10-08 23:08:57.927,192.168.31.159,46.232.56.131,4884,443,TCP,54
